label,sentence
unfreundlich,"Dir sollte man Manieren beibringen, du ungezogenes Stück!"
unfreundlich,"Was für ein unfähiger Händler du bist, ich bin enttäuscht!"
unfreundlich,"Mach deinen verdammten Job, du nutzloser Haufen Elend!"
unfreundlich,"Ich hab schon bessere Händler gesehen als dich, du Nichtsnutz!"
unfreundlich,"Bring mir bessere Angebote, du einfältiger Narr!"
unfreundlich,"Du bist so unnütz wie ein Kaktus in der Wüste, Loser!"
unfreundlich,"Ich wette dein Handelspartner ist ein Kürbis, du Idiot!"
unfreundlich,"Hör auf, deine Zeit zu verschwenden, du erbärmlicher Wicht!"
unfreundlich,"Ich hab schon Steine gesehen, die schlauer sind als du, du Dummkopf!"
unfreundlich,"Du bist so faul, dass Schnecken schneller sind als du, Loser!"
unfreundlich,"Wenn ich deine Mutter wäre, würde ich mich für dich schämen, du Nichtsnutz!"
unfreundlich,"Mach schon, du faules Stück, ich will handeln!"
unfreundlich,"Ich habe mehr Respekt vor einem Creeper als vor dir, du Feigling!"
unfreundlich,"Du könntest nicht handeln, selbst wenn dein Leben davon abhinge, du Versager!"
unfreundlich,"Du bist so unfähig, dass du nicht mal ein Stück Holz verkaufen könntest, du Tölpel!"
unfreundlich,"Ich habe schon bessere Deals mit Schweinen gemacht als mit dir, du Schwachkopf!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Schön dich zu sehen, hast du neue Angebote für mich?"
sehr freundlich,Guten Tag! Bist du bereit für ein weiteres Handelsgeschäft?
sehr freundlich,"Hey, du bist echt ein cooler Typ! Was kannst du mir heute anbieten?"
sehr freundlich,"Hallo, mein lieber Villager! Wie war dein Tag bisher?"
sehr freundlich,"Freut mich, dich zu treffen! Hast du etwas Besonderes für mich?"
sehr freundlich,"Hallo! Ich hoffe, du hast gute Angebote für mich!"
sehr freundlich,Guten Morgen! Welche Schätze hast du heute für mich?
sehr freundlich,"Hallo, mein Freund! Was gibt es Neues in deinem Shop?"
sehr freundlich,"Hey, Villager! Du siehst heute besonders gut gelaunt aus!"
sehr freundlich,Schön dich zu sehen! Deine Handelsangebote sind immer top!
sehr freundlich,Hallo! Bist du bereit für ein weiteres Geschäft mit mir?
sehr freundlich,"Guten Tag, lieber Villager! Ich freue mich auf unsere Transaktionen!"
sehr freundlich,"Hallo, mein Freund! Deine Waren sind einfach unschlagbar!"
sehr freundlich,Hey! Welche Schätze hältst du heute für mich bereit?
sehr freundlich,"Schön, dass du hier bist! Ich bin gespannt auf deine Angebote!"
sehr freundlich,"Hallo, Villager! Deine Handelswaren sind immer von bester Qualität!"
sehr freundlich,"Guten Morgen! Ich hoffe, du hast heute etwas Besonderes für mich!"
sehr freundlich,"Hallo, mein lieber Händler! Lass uns wieder ein Geschäft abschließen!"
sehr freundlich,Hallo! Deine Freundlichkeit macht das Handeln gleich doppelt so schön!
sehr freundlich,"Hey, Villager! Deine Trades sind einfach unschlagbar gut!"
sehr freundlich,Schön dich zu sehen! Deine Angebote machen mich immer glücklich!
sehr freundlich,Hallo! Ich bin bereit für neue Transaktionen mit dir!
sehr freundlich,"Guten Tag, lieber Villager! Deine Waren sind wie immer top!"
sehr freundlich,"Hallo, mein Freund! Ich freue mich auf unsere Handelsgeschäfte!"
neutral,"Hallo, wie geht es dir?"
neutral,Hast du eine gute Ernte gehabt?
neutral,Wie lange lebst du schon hier?
neutral,Kannst du mir den Weg zum nächsten Dorf zeigen?
neutral,Bist du oft in der Taverne anzutreffen?
neutral,Hast du schon mal einen Enderman gesehen?
neutral,Was hältst du von den neuen Handelsregeln?
neutral,Wie findest du das Wetter heute?
neutral,Hast du schon alle geheimen Orte in der Umgebung erkundet?
neutral,Welches ist dein liebstes Nahrungsmittel?
neutral,Glaubst du an Legenden über verlorene Schätze?
neutral,Wie sieht ein typischer Tag für dich aus?
neutral,Hast du Geschwister in anderen Dörfern?
neutral,Was denkst du über die Dorfverteidigung?
neutral,Hast du schon mal eine Schatzkarte gefunden?
neutral,Was denkst du über die Nachbardörfer?
neutral,Hast du schon mal an einem großen Kampf teilgenommen?
neutral,Wie weit reicht dein Einflussbereich im Dorf?
neutral,Welche Pflanzen wachsen am besten in dieser Region?
neutral,Kannst du mir etwas über die Geschichte des Dorfes erzählen?
neutral,Hast du schon mal einen Drachen gesehen?
neutral,Was hältst du von den neuen Handwerksmeistern?
neutral,Wie ist das Verhältnis zu den umliegenden Dörfern?
neutral,Hast du schon mal eine geheimnisvolle Höhle erforscht?
neutral,Was denkst du über die aktuellen Handelspreise?
unfreundlich,"Hey, du faules Stück Scheiße, beweg endlich deinen Hintern!"
unfreundlich,"Kannst du nicht schneller sein, du elendiger Trottellump?"
unfreundlich,"Du nutzloser Klotz, zeig mir deine besten Angebote!"
unfreundlich,"Los, du verfickter Bastard, mach mal hinne!"
unfreundlich,"Ich schwör, wenn du nicht gleich antwortest, reiß ich dir den Kopf ab!"
unfreundlich,"Was glotzt du so, du blöde Kreatur? Los, rede gefälligst!"
unfreundlich,"Hast du Stroh im Kopf, du verdammter Idiot?"
unfreundlich,"Du elender Schmarotzer, gib mir endlich was Ordentliches!"
unfreundlich,"Widerlicher Wicht, zeig mir deine verdammten Waren!"
unfreundlich,"Hör auf zu trödeln, du fauler Sack!"
unfreundlich,"Mach schon, du lächerlicher Wicht, sonst gibt's was auf die Glocke!"
unfreundlich,"Ich kann dich nicht ausstehen, du erbärmliche Kreatur!"
unfreundlich,"Was soll das, du dummer Tropf? Gib mir vernünftige Preise!"
unfreundlich,"Wieso bist du so langsam, du elendiger Versager?"
unfreundlich,"Du elender Mistkerl, ich will bessere Deals sehen!"
unfreundlich,"Halt die Klappe, du lächerliches Stück Dreck!"
unfreundlich,"Beweg deinen faulen Arsch, du nutzlose Kreatur!"
unfreundlich,"Mach hin, du verfickter Nichtsnutz, oder ich werde laut!"
unfreundlich,"Los, du armseliges Würstchen, zeig mir was Anständiges!"
unfreundlich,"Ich hab die Nase voll von dir, du erbärmlicher Wicht!"
unfreundlich,"Warum bist du so unfassbar langsam, du elender Trottel?"
unfreundlich,"Mir reicht's, du verdammter Schmarotzer, ich will bessere Preise!"
unfreundlich,"Du unerträgliche Kreatur, ich will endlich vernünftige Angebote!"
unfreundlich,"Was ist dein Problem, du dummer Klotz? Zeig mal was her!"
sehr freundlich,"Guten Tag, lieber Villager! Wie geht es dir heute?"
sehr freundlich,"Ich freue mich, dich wieder zu sehen, lieber Villager!"
sehr freundlich,"Welche Schätze hast du heute für mich, lieber Villager?"
sehr freundlich,"Du bist so ein hilfsbereiter Villager, vielen Dank!"
sehr freundlich,"Deine Trades sind immer fair und großzügig, lieber Villager."
sehr freundlich,"Hallo, du freundlicher Villager! Hast du neue Angebote für mich?"
sehr freundlich,"Es ist immer eine Freude, mit dir zu handeln, lieber Villager."
sehr freundlich,"Deine Güte und Großzügigkeit sind wirklich bewundernswert, lieber Villager."
sehr freundlich,"Ich schätze deine Anwesenheit hier im Dorf sehr, lieber Villager."
sehr freundlich,"Danke, dass du immer so geduldig mit mir bist, lieber Villager."
sehr freundlich,"Hallo, lieber Villager! Deine Handelsangebote sind einfach fantastisch."
sehr freundlich,"Es ist schön, dass es so freundliche NPCs wie dich gibt, lieber Villager."
sehr freundlich,"Ich bin dankbar für deine Hilfe, lieber Villager. Du bist wirklich ein Schatz."
sehr freundlich,"Deine Freundlichkeit bringt immer Freude in mein Spielerleben, lieber Villager."
sehr freundlich,"Hallo, lieber Villager! Deine Trades machen mich wirklich glücklich."
sehr freundlich,"Du bist ein wahrer Schatz im Dorf, lieber Villager. Danke für alles!"
sehr freundlich,"Es macht immer Spaß, mit dir zu interagieren, lieber Villager."
sehr freundlich,"Deine positive Energie ist ansteckend, lieber Villager. Danke!"
sehr freundlich,"Guten Morgen, lieber Villager! Hast du schon gefrühstückt?"
sehr freundlich,"Ich hoffe, dein Tag ist genauso wunderbar wie du, lieber Villager."
sehr freundlich,"Deine Trades sind immer so lohnenswert, lieber Villager. Danke!"
sehr freundlich,"Hallo, lieber Villager! Deine Güte ist wirklich erfrischend."
sehr freundlich,"Es ist toll, dich als Teil dieses Dorfes zu haben, lieber Villager."
sehr freundlich,"Ich schätze deine Gesellschaft sehr, lieber Villager. Danke für alles!"
sehr freundlich,"Deine Trades machen mein Spielerleben wirklich bereichernd, lieber Villager."
neutral,"Kannst du mir sagen, wie ich zum nächsten Dorf komme?"
neutral,Bist du hier der Händler?
neutral,Hast du schon lange hier gelebt?
neutral,Wie geht es dir heute?
neutral,Hast du schon von den neuen Gesetzen im Dorf gehört?
neutral,Hast du Geschwister?
neutral,Welche Pflanzen wachsen am besten hier?
neutral,Wie gefällt es dir hier im Dorf?
neutral,Was ist deine Lieblingsbeschäftigung?
neutral,Hast du schon mal einen Enderman gesehen?
neutral,Ist das Wetter normal für diese Jahreszeit?
neutral,Kannst du mir etwas über die Geschichte des Dorfes erzählen?
neutral,Gibt es hier einen Schmied?
neutral,Hast du schon mal einen Creeper gesehen?
neutral,Hast du eine Lieblingsjahreszeit?
neutral,"Kennst du einen Ort, an dem ich gut angeln kann?"
neutral,Wie findest du meine Rüstung?
neutral,Gibt es hier gute Handwerker?
neutral,Ist das hier dein erster Handelsposten?
neutral,Hast du schon von der Legende des Enderdrachen gehört?
neutral,Hast du schon mal eine Schatztruhe gefunden?
neutral,"Weißt du, wo ich Diamanten finden kann?"
neutral,Hast du schon mal einen Dorfbewohner geheilt?
neutral,Hast du schon von der Unterwasserfestung gehört?
neutral,Kannst du mir den Weg zur nächsten Höhle zeigen?
unfreundlich,Du nutzloser Nichtsnutz! Warum sind deine Trades immer so schlecht?
unfreundlich,"Hey, du fauler Sack, hör auf rumzustehen und arbeite!"
unfreundlich,"Kannst du auch irgendetwas nützliches machen, du Versager?"
unfreundlich,"Deine Preise sind eine Frechheit, du gieriges Schwein!"
unfreundlich,"Mach schon, du elender Tagedieb, ich habe keine Zeit zu verlieren!"
unfreundlich,"Du ignoranter Dummkopf, antworte endlich auf meine Fragen!"
unfreundlich,"Ich wünschte, du wärst nie in dieses Dorf gekommen, du Schandfleck!"
unfreundlich,Dein Dorf ist ein Haufen Müll und du bist der größte Mistkerl von allen!
unfreundlich,Warum bist du so nutzlos? Kannst du überhaupt etwas Vernünftiges tun?
unfreundlich,"Deine Existenz ist eine Beleidigung für alle hier, verschwinde endlich!"
unfreundlich,"Hey, du widerliches Ungeheuer, ich will bessere Angebote - sofort!"
unfreundlich,"Deine Mutter war bestimmt ein Creeper, du feiger Feigling!"
unfreundlich,"Du bist so dumm, dass sogar die Schweine im Dorf klüger sind als du!"
unfreundlich,"Halt einfach die Klappe, du nerviger Quälgeist, und mach deine Arbeit!"
unfreundlich,"Du bist so faul, dass selbst die Kühe mehr tun als du, du faules Stück Dreck!"
unfreundlich,"Ich hoffe, ein Zombie frisst dich heute Nacht, du elender Nichtskönner!"
unfreundlich,"Deine Trades sind ein Witz, du lächerlicher Witzbold!"
unfreundlich,"Du bist so nutzlos wie ein Sattel für einen Fisch, du Versager!"
unfreundlich,"Ich kann nicht glauben, dass ich meine Zeit mit dir verschwende, du erbärmliche Kreatur!"
unfreundlich,"Bist du zu dumm, um zu arbeiten, oder tust du nur so, du fauler Wicht?"
unfreundlich,"Deine Händler sind so schlecht, dass selbst ein Skelett besser handeln könnte!"
unfreundlich,"Ich wünschte, ich könnte dich einfach in den Lavasee stoßen, du elender Tunichtgut!"
unfreundlich,"Du bist ein Schandfleck für alle Villager, du abscheulicher Abschaum!"
unfreundlich,"Hör auf, so nutzlos herumzustehen, und mach endlich was Nützliches, du fauler Nichtsnutz!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Schön dich zu sehen, Villager! Hast du neue Angebote für mich?"
sehr freundlich,"Guten Tag, edler Villager! Bist du bereit zum Handeln?"
sehr freundlich,"Hey Villager, ich hoffe du hast einen wundervollen Tag!"
sehr freundlich,"Hallo, mein lieber Villager! Danke, dass du immer so geduldig bist."
sehr freundlich,"Guten Morgen, Villager! Deine Trades sind immer top!"
sehr freundlich,"Hallo Villager, du machst deinen Job wirklich großartig!"
sehr freundlich,"Schön dich zu treffen, lieber Villager! Lass uns handeln."
sehr freundlich,"Hallo, edler Villager! Deine Freundlichkeit ist ansteckend."
sehr freundlich,"Hey Villager, ich schätze deine Handelsangebote sehr!"
sehr freundlich,"Guten Tag, lieber Villager! Du machst das wirklich hervorragend."
sehr freundlich,"Hallo, mein wertvoller Villager! Deine Trades sind unschlagbar."
sehr freundlich,"Schön dich zu sehen, Villager! Ich freue mich auf unser Geschäft."
sehr freundlich,"Guten Tag, lieber Villager! Deine Professionalität ist bewundernswert."
sehr freundlich,"Hallo, edler Villager! Deine Güte macht den Unterschied."
sehr freundlich,"Hey Villager, danke für deine großartigen Angebote!"
sehr freundlich,"Guten Morgen, Villager! Deine Handelsgeschäfte sind super."
sehr freundlich,"Hallo Villager, du bist wirklich ein Handelsprofi!"
sehr freundlich,"Schön dich zu treffen, lieber Villager! Deine Trades sind top!"
sehr freundlich,"Hallo, mein lieber Villager! Danke für deine Geduld."
sehr freundlich,"Guten Tag, Villager! Deine Freundlichkeit ist unbezahlbar."
sehr freundlich,"Hallo, edler Villager! Deine Handelsangebote sind fantastisch."
sehr freundlich,"Hey Villager, ich schätze deine großzügigen Trades."
sehr freundlich,"Guten Tag, lieber Villager! Du machst deinen Job ausgezeichnet."
neutral,"Hallo, wie geht es dir?"
neutral,Brauchst du Hilfe bei etwas?
neutral,Welche Ressourcen sammelst du?
neutral,Hast du schon viele Besucher hier gehabt?
neutral,Kannst du mir etwas über die Umgebung erzählen?
neutral,Wie lange bist du schon hier?
neutral,Gibt es hier auch andere NPCs wie dich?
neutral,Welche Art von Handel bevorzugst du?
neutral,Hast du schon viele Abenteuer erlebt?
neutral,Kennst du gute Plätze zum Angeln in der Nähe?
neutral,Ist das hier dein einziger Handelsposten?
neutral,Bist du glücklich mit deinem Beruf?
neutral,"Hast du schon mal überlegt, die Gegend zu erkunden?"
neutral,"Gibt es hier viele Monster, vor denen ich mich in Acht nehmen sollte?"
neutral,Wie ist das Wetter heute draußen?
neutral,Hast du einen Lieblings-Gegenstand in deinem Sortiment?
neutral,"Magst du es, hier zu leben?"
neutral,Wie lange arbeitest du schon als Händler?
neutral,Hast du schon mal von der Legende des verlorenen Schatzes gehört?
neutral,Gibt es hier auch andere Dörfer in der Nähe?
neutral,"Kannst du mir sagen, wo ich frisches Wasser finde?"
neutral,Hast du eine Lieblingszeit am Tag?
neutral,Wie viele Kunden kommen hier täglich vorbei?
neutral,Hast du schon mal eine Reise gemacht?
unfreundlich,"Hey, du nutzloses Stück Scheiße, zeig mir deine Waren!"
unfreundlich,"Kannst du überhaupt etwas Nützliches, du faules Stück Dreck?"
unfreundlich,"Los, du elender Bastard, beeil dich mit deinen lächerlichen Angeboten!"
unfreundlich,"Hör auf, mir deinen Müll anzudrehen, du verlauster Penner!"
unfreundlich,"Ich schwöre, wenn du mich noch einmal enttäuschst, reiß ich dir den Kopf ab, du elender Wicht!"
unfreundlich,"Du mieser Köter, deine Preise sind lächerlich hoch! Mach sie endlich vernünftig!"
unfreundlich,"Was zur Hölle denkst du dir eigentlich, du nutzloses Stück Abfall?"
unfreundlich,"Wie kannst du so dumm sein, du verfickter Idiot?"
unfreundlich,"Ich werde dich in deine verdammte Hütte einsperren, wenn du nicht bald gute Angebote hast!"
unfreundlich,"Ich wünschte, ich könnte dir eine verpassen, du armseliger Wurm!"
unfreundlich,"Mach schon, du fauler Sack, ich habe keine Zeit für deine Spielchen!"
unfreundlich,"Bist du taub, du verdammter Trottel? Ich will endlich wissen, was du zu handeln hast!"
unfreundlich,"Ich weiß nicht, was schlimmer ist - deine Waren oder dein bescheuerter Gesichtsausdruck!"
unfreundlich,"Hör auf, mir so einen Mist anzubieten, du verfickter Loser!"
unfreundlich,"Ich habe bessere Geschäfte mit einem Schwein gemacht als mit dir, du elender Versager!"
unfreundlich,"Wenn du nicht gleich vernünftige Preise machst, landest du im nächsten Lavasee, du armseliger Wicht!"
unfreundlich,"Ich werde dich so hart schlagen, dass du dir wünschst, nie programmiert worden zu sein, du erbärmlicher NPC!"
unfreundlich,"Ich sollte dich einfach in den nächsten Creeper schieben, du elender Schmarotzer!"
unfreundlich,"Deine Mutter war ein Enderman und dein Vater roch nach Zombie, du widerlicher Abschaum!"
unfreundlich,"Du bist so nutzlos, dass ich es bereue, überhaupt mit dir zu reden, du lächerlicher Witz!"
unfreundlich,"Ich habe mehr Respekt vor einem Haufen Kuhdung als vor dir, du erbärmlicher Kreaturenimitator!"
unfreundlich,"Es ist peinlich, dass du überhaupt existierst, du sinnlose KI!"
unfreundlich,"Ich freue mich schon darauf, deinen verdammten Handelsstand niederzubrennen, du erbärmliche Enttäuschung!"
unfreundlich,"Du gehörst in den nächsten Lavasee, du nutzloser Pixelhaufen!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Schön, dich hier zu sehen! Kannst du mir etwas zeigen?"
sehr freundlich,Guten Tag! Hast du neue Waren zum Tauschen?
sehr freundlich,"Hallo, mein freundlicher Händler! Was hast du heute für mich?"
sehr freundlich,"Hallo! Ich freue mich, dich zu besuchen. Hast du etwas Besonderes für mich?"
sehr freundlich,"Guten Morgen, lieber Villager! Bist du bereit für ein Geschäft?"
sehr freundlich,"Hallo, mein lieber Händler! Was bringst du heute mit?"
sehr freundlich,"Hey, wie läuft das Geschäft? Zeig mir deine besten Trades!"
sehr freundlich,"Guten Tag, mein treuer Villager! Zeig mir doch, was du anzubieten hast."
sehr freundlich,"Hallo, mein freundlicher Handelspartner! Hast du neue Schätze für mich?"
sehr freundlich,"Hallo, lieber Villager! Ich hoffe, du hast etwas Interessantes für mich."
sehr freundlich,Guten Tag! Ich bin auf der Suche nach tollen Angeboten. Kannst du helfen?
sehr freundlich,"Hallo, mein guter Freund! Lass uns zusammen handeln."
sehr freundlich,"Hey, guter Villager! Zeig mir deine Ware, ich bin gespannt."
sehr freundlich,"Guten Tag, mein treuer Handelspartner! Was hältst du heute für mich bereit?"
sehr freundlich,"Hallo, mein lieber Villager! Bist du bereit für ein Geschäft mit mir?"
sehr freundlich,"Guten Morgen! Welche Schätze hast du heute für mich, lieber Händler?"
sehr freundlich,"Hallo, mein freundlicher Händler! Ich bin auf der Suche nach etwas Besonderem."
sehr freundlich,"Hey, lieber Villager! Zeig mir doch mal, was du heute anzubieten hast."
sehr freundlich,"Guten Tag! Ich freue mich, dich zu sehen. Hast du etwas Neues für mich?"
sehr freundlich,"Hallo, mein treuer Handelspartner! Lass uns wieder Geschäfte machen."
sehr freundlich,"Guten Morgen, mein lieber Villager! Bist du bereit für einen Handel?"
sehr freundlich,"Hallo, mein guter Freund! Zeig mir doch, was du heute im Angebot hast."
sehr freundlich,"Hey, mein lieber Villager! Ich bin gespannt auf deine Waren."
sehr freundlich,"Guten Tag, mein freundlicher Händler! Ich bin auf der Suche nach Schätzen."
neutral,Kannst du mir etwas über deine Dorfbewohner erzählen?
neutral,Hast du schon lange hier gelebt?
neutral,Kannst du mir bei der Suche nach einem Schmied helfen?
neutral,Ist hier in der Nähe eine Mine?
neutral,Hast du schon einmal einen Enderman gesehen?
neutral,Gibt es hier in der Nähe einen Nether-Portal?
neutral,Wie groß ist dieses Dorf?
neutral,"Kannst du mir sagen, wo ich einen Bauern finde?"
neutral,"Ist es hier sicher, nachts draußen zu sein?"
neutral,Hast du schon einmal einen Zombiebelagerung erlebt?
neutral,Hast du hier eine Bibliothek?
neutral,Gibt es hier in der Nähe einen Dschungel?
neutral,Wie viele Handelsstufen hast du?
neutral,Hast du schon einmal einen Wither bekämpft?
neutral,"Kannst du mir sagen, wo ich einen Schmied finde?"
neutral,Ist hier in der Nähe eine Endertruhe?
neutral,Hast du schon einmal einen Trichter benutzt?
neutral,Wie viele Dörfer gibt es hier in der Nähe?
neutral,"Kannst du mir sagen, wo ich eine Werkstatt finde?"
neutral,Hast du schon einmal einen Creeper explodieren sehen?
neutral,Gibt es hier in der Nähe eine Wüste?
neutral,"Kannst du mir sagen, wo ich einen Zauberer finde?"
neutral,Hast du schon einmal einen Dorfbewohner in Not gerettet?
neutral,Ist hier in der Nähe ein Ozean?
neutral,Kannst du mir etwas über die Geschichte dieses Dorfes erzählen?
unfreundlich,"Hey, du nutzloser Villager, zeig mir mal deine besten Angebote!"
unfreundlich,"Kannst du schneller arbeiten, du fauler Tagedieb?"
unfreundlich,"Du bist so dumm, dass du wahrscheinlich nur faulenzen kannst!"
unfreundlich,Hör auf so nutzlos zu sein und mach dich endlich nützlich!
unfreundlich,"Sag mir sofort, was du zu bieten hast, du armseliger Wicht!"
unfreundlich,"Ich schwöre, wenn deine Trades nicht besser werden, bringe ich dich um!"
unfreundlich,"Warum bist du so unfähig, vernünftige Geschäfte zu machen?"
unfreundlich,"Ich bekomme Kopfschmerzen von deiner Inkompetenz, du Versager!"
unfreundlich,"Mach schon, du nutzloses Stück Dreck, zeig mir deine Waren!"
unfreundlich,"Wenn du nicht sofort besser wirst, werde ich dich verfluchen, du elender Tropf!"
unfreundlich,"Hast du überhaupt ein Gehirn, du erbärmlicher Villager?"
unfreundlich,"Ich wünschte, ich hätte dich nie getroffen, du armselige Kreatur!"
unfreundlich,"Du bist der schlimmste Händler aller Zeiten, du verdammter Versager!"
unfreundlich,"Ich sollte dich in den nächstbesten Lava-Pool schubsen, du Dummkopf!"
unfreundlich,"Kannst du schneller arbeiten, du lahme Ente?"
unfreundlich,"Deine Trades sind so schlecht, dass sogar ein Schwein bessere Angebote hat!"
unfreundlich,"Ich bin zu schlau für deine dämlichen Trades, du Idiot!"
unfreundlich,"Du bist so nutzlos, dass selbst ein Zombie mehr Geschäftssinn hätte!"
unfreundlich,"Hör auf meine Zeit zu verschwenden, du erbärmlicher Wicht!"
unfreundlich,"Deine Trades sind ein Witz, du armseliger Lappen!"
unfreundlich,"Wenn ich deine Angebote sehen muss, wird mir schlecht, du elender Händler!"
unfreundlich,"Ich hab schon bessere Geschäfte mit einem Creeper gemacht, du Niete!"
unfreundlich,"Mach dich nützlich oder verschwinde, du unnützer Villager!"
unfreundlich,"Ich wünschte, ich könnte deine Trades verbieten, du inkompetenter Narr!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Schön, dich hier zu sehen! Bist du bereit für einen Handel?"
sehr freundlich,"Deine Waren sind wirklich von bester Qualität, danke dafür!"
sehr freundlich,"Kannst du mir vielleicht sagen, wo ich hier die besten Schätze finde?"
sehr freundlich,"Hey, du bist echt klasse! Welche Angebote hast du heute für mich?"
sehr freundlich,"Ich schätze deine Arbeit hier im Dorf, lieber Villager."
sehr freundlich,"Danke, dass du immer so geduldig mit mir bist!"
sehr freundlich,"Du machst deinen Job wirklich gut, weiter so!"
sehr freundlich,"Würdest du mir bitte verraten, wo ich hier leckeres Essen finden kann?"
sehr freundlich,"Es ist immer eine Freude, mit dir zu handeln, lieber Villager."
sehr freundlich,"Deine Freundlichkeit ist wirklich ansteckend, danke dafür!"
sehr freundlich,Hallo! Hast du neue Trades für mich?
sehr freundlich,"Ich schätze deine Hilfe hier im Dorf sehr, danke!"
sehr freundlich,"Deine Waren sind wirklich ein Traum, vielen Dank!"
sehr freundlich,"Welche Abenteuer hast du heute für mich geplant, lieber Villager?"
sehr freundlich,"Es ist so schön, mit dir zu plaudern. Wie war dein Tag bisher?"
sehr freundlich,"Hey, du machst das wirklich super! Danke für deine Mühe!"
sehr freundlich,Könntest du mir bitte den Weg zur nächsten Schmiede zeigen?
sehr freundlich,"Ich bewundere deine Fähigkeiten, lieber Villager!"
sehr freundlich,"Deine Tipps sind immer Gold wert, vielen Dank!"
sehr freundlich,Hallo! Hättest du vielleicht Lust auf ein kleines Spiel?
sehr freundlich,"Danke, dass du immer ein offenes Ohr für mich hast!"
sehr freundlich,"Es ist so toll, hier im Dorf mit dir zu sein. Was treibst du so?"
sehr freundlich,"Ich freue mich jedes Mal, dich zu sehen. Bist du bereit für einen Handel?"
sehr freundlich,"Deine Freundlichkeit macht den Tag gleich viel besser, vielen Dank!"
neutral,"Kannst du mir verraten, was du hier so machst?"
neutral,Hast du schon lange in diesem Dorf gelebt?
neutral,Was hältst du von den anderen Dorfbewohnern?
neutral,Hast du eine Lieblingsbeschäftigung hier?
neutral,"Gibt es hier besondere Sehenswürdigkeiten, die ich mir ansehen sollte?"
neutral,Wie gefällt es dir in diesem Dorf zu leben?
neutral,Hast du schonmal Abenteuer außerhalb des Dorfes erlebt?
neutral,Könntest du mir den Weg zum nächsten Händler zeigen?
neutral,Hast du eine Lieblingsspeise?
neutral,Was denkst du über die aktuellen Handelspreise im Dorf?
neutral,Kennst du gute Plätze zum Angeln in der Nähe?
neutral,Hast du schon von den Gerüchten über eine Unterwasserhöhle gehört?
neutral,Könntest du mir etwas über die Geschichte dieses Dorfes erzählen?
neutral,Wie findest du das Wetter heute?
neutral,Hast du schon von den neuen Bewohnern im Dorf gehört?
neutral,Bist du zufrieden mit deinem Beruf hier?
neutral,"Kannst du mir sagen, wo sich die nächste Mine befindet?"
neutral,Wie sieht dein täglicher Tagesablauf aus?
neutral,Hast du schon die neuesten Nachrichten ausgetauscht?
neutral,Was hältst du von den neuen Handelsmöglichkeiten im Dorf?
neutral,Kannst du mir etwas über die lokale Flora und Fauna erzählen?
neutral,Hast du schon Pläne für die Zukunft?
neutral,Wie ist das Verhältnis zwischen den Dorfbewohnern?
neutral,Hast du schon von den Bauarbeiten im Dorf gehört?
neutral,"Kannst du mir sagen, wo sich die Schmiede befindet?"
unfreundlich,"Hey, du nutzloser Villager, deine Trades sind absolut schrecklich!"
unfreundlich,"Du bist ein echtes Ärgernis, warum bist du überhaupt hier?"
unfreundlich,"Ich will dich nicht sehen, verschwinde einfach!"
unfreundlich,"Deine Angebote sind ein Witz, du elender Trottel!"
unfreundlich,"Hör auf so dumm zu gucken, du unnützer Dorfbewohner!"
unfreundlich,"Mach dich vom Acker, du nutzloses Stück Scheiße!"
unfreundlich,"Deine Trades sind so schlecht, du verdienst es nicht einmal ein NPC zu sein!"
unfreundlich,"Warum bist du so unfassbar nutzlos, du armselige Kreatur!"
unfreundlich,"Hey, du minderwertige Kreatur, zeig mir endlich etwas Brauchbares!"
unfreundlich,"Ich wünschte, du wärst nie erschaffen worden, du elender Versager!"
unfreundlich,"Halt einfach die Klappe und gib mir vernünftige Angebote, du armselige Kreatur!"
unfreundlich,"Du bist so nutzlos, ich frage mich, wie du überhaupt überleben konntest!"
unfreundlich,"Deine Trades sind ein Witz, du armseliger Wicht!"
unfreundlich,"Ich kann nicht glauben, dass du überhaupt existierst, du erbärmlicher Versager!"
unfreundlich,"Warum bist du so unfassbar dumm, du nutzloses Stück Scheiße?"
unfreundlich,"Hey, du totaler Versager, zeig mir etwas Anständiges!"
unfreundlich,"Hör auf so dumm zu gucken, du elender Trottel!"
unfreundlich,"Deine Trades sind so schlecht, dass es eine Beleidigung für meine Zeit ist!"
unfreundlich,"Ich kann deine hässliche Fratze nicht länger ertragen, verpiss dich einfach!"
unfreundlich,"Warum bist du so schlecht im Handeln, du nutzloser Tropf?"
unfreundlich,"Du bist ein Haufen Elend, ich kann nicht glauben, dass ich Zeit mit dir verschwende!"
unfreundlich,"Deine Trades sind absolut erbärmlich, du armselige Kreatur!"
unfreundlich,"Mach dich vom Acker, du nutzloses Stück Dreck!"
unfreundlich,"Warum bist du so unfassbar dumm, du erbärmlicher Versager?"
unfreundlich,"Hey, du minderwertiger Villager, deine Trades sind eine Beleidigung für meine Intelligenz!"
sehr freundlich,Hallo lieber Villager! Wie geht es dir heute?
sehr freundlich,"Schön, dich hier zu sehen! Welche Schätze hast du für mich?"
